team,conf,fg_pct,fg_pct_rk,ft_pct,ft_pct_rk,fg2_pct,fg2_pct_rk,fg3_pct,fg3_pct_rk,ts_pct,ts_pct_rk,ast_rate,ast_rate_rk,fg3_rate,fg3_rate_rk,to_rate,to_rate_rk,ft_rate,ft_rate_rk,orb_rate,orb_rate_rk
Brown,Ivy,0.3816872427983539,74,0.695852534562212,119,0.41,39,0.3088235294117647,159,0.4576198148911455,41,0.5660377358490566,222,0.27983539094650206,46,0.21938163629449792,76,0.22325102880658437,38,0.33220338983050846,254
Rhode Island,A10,0.38981562774363476,107,0.7084870848708487,178,0.42258883248730966,74,0.3162393162393162,193,0.4732801373346897,89,0.5518018018018018,190,0.30816505706760317,121,0.245767995012708,16,0.237928007023705,71,0.25991792065663477,30
Clemson,ACC,0.43202416918429004,288,0.6605839416058394,25,0.4899645808736718,295,0.32914046121593293,247,0.5129589632829373,257,0.5944055944055944,278,0.36027190332326287,280,0.17995413156520357,262,0.20694864048338368,18,0.31505102040816324,191
Furman,SC,0.4182139699381079,240,0.6680161943319838,37,0.47117794486215536,243,0.2912912912912913,74,0.4872225090345895,145,0.4904862579281184,56,0.29442970822281167,79,0.17281874716417114,293,0.21839080459770116,35,0.2907488986784141,106
College of Charleston,CAA,0.3921765295887663,117,0.6451612903225806,11,0.45454545454545453,185,0.27586206896551724,34,0.4692076809026146,74,0.6163682864450127,310,0.34904714142427284,247,0.23458259521700622,36,0.24874623871614845,92,0.3508500772797527,295
South Dakota,Sum,0.4065934065934066,185,0.6970802919708029,123,0.47411444141689374,260,0.2962138084632517,95,0.4932645984841511,165,0.5488565488565489,176,0.3795435333896872,322,0.15821149971586507,335,0.231614539306847,55,0.3004172461752434,137
Memphis,Amer,0.4326450344149459,290,0.7088305489260143,179,0.47341115434500647,256,0.3048780487804878,142,0.5210761137377639,284,0.5227272727272727,111,0.24188790560471976,7,0.23253436909081615,39,0.4119960668633235,350,0.33658536585365856,265
Chattanooga,SC,0.39606126914660833,140,0.6516129032258065,14,0.44561933534743203,155,0.26587301587301587,18,0.47267707539984766,88,0.4198895027624309,8,0.27571115973741794,35,0.19657335169037785,170,0.33916849015317285,299,0.2534246575342466,25
Vanderbilt,SEC,0.39515455304928987,135,0.6981818181818182,130,0.46495956873315364,217,0.2813186813186813,48,0.4802731411229135,111,0.5665961945031712,223,0.38011695906432746,323,0.22516166960611406,57,0.2297410192147034,51,0.2980132450331126,131
Baylor,B12,0.39550140581068416,137,0.6573426573426573,22,0.4453227931488801,154,0.2727272727272727,31,0.46779115388484627,70,0.46445497630331756,29,0.28865979381443296,63,0.23331447963800905,38,0.26804123711340205,141,0.23333333333333334,7
Rice,Amer,0.3903345724907063,109,0.7159090909090909,211,0.42782152230971127,95,0.29936305732484075,112,0.48176914077733,119,0.5452380952380952,167,0.29182156133828996,70,0.22040940413457638,71,0.3271375464684015,284,0.3227665706051873,211
